"ballot_measure_id","support_oppose","text_of_argument","author","source","date_created"
"28009","Support","""We now have an opportunity through this cooperatively negotiated amendment to place Mount Van Hoevenberg in the same status. This amendment is intended to protect the integrity of the Forest Preserve by constitutionally authorizing the historic use of this Forest Preserve land to support world-class Nordic skiing and biathlon training and competition, as well as recreational Nordic skiing and other recreational uses.""","ORDA spokesperson Darcy Norfolk","https://www.yahoo.com/news/van-ho-may-statewide-vote-035900193.html","2025-06-17"
"28009","Support","""We now have an opportunity through this cooperatively negotiated amendment to place Mount Van Hoevenberg in the same status. This amendment is intended to protect the integrity of the Forest Preserve by constitutionally authorizing the historic use of this Forest Preserve land to support world-class Nordic skiing and biathlon training and competition, as well as recreational Nordic skiing and other recreational uses.""","ORDA spokesperson Darcy Norfolk","https://www.yahoo.com/news/van-ho-may-statewide-vote-035900193.html","2025-06-17"
"28009","Support","""Even though this Constitutional Amendment is being passed ‘after-the-fact’, it remedies the past violations of Article 14, Section 1, and it lays out the parameters for future management of Mount Van Hoevenberg ... At all three of these ski areas, the state is allowed to build and operate facilities that would otherwise be prohibited on the Forest Preserve, subject to specific limits in the constitutional amendments. Since taking over the management of these facilities, ORDA has successfully operated them within the bounds set by these amendments. However, the nonconforming state facilities at Mt. Van Hoevenberg are not expressly authorized, nor are they subject to constitutional limits, like the other three facilities. This proposed amendment would help to right historical wrongs.""","Protect the Adirondacks","https://www.protectadks.org/constitutional-amendment-for-the-mount-van-hoevenberg-winter-sports-complex-is-poised-for-second-passage/","2025-06-17"
"28009","Support","""Even though this Constitutional Amendment is being passed ‘after-the-fact’, it remedies the past violations of Article 14, Section 1, and it lays out the parameters for future management of Mount Van Hoevenberg ... At all three of these ski areas, the state is allowed to build and operate facilities that would otherwise be prohibited on the Forest Preserve, subject to specific limits in the constitutional amendments. Since taking over the management of these facilities, ORDA has successfully operated them within the bounds set by these amendments. However, the nonconforming state facilities at Mt. Van Hoevenberg are not expressly authorized, nor are they subject to constitutional limits, like the other three facilities. This proposed amendment would help to right historical wrongs.""","Protect the Adirondacks","https://www.protectadks.org/constitutional-amendment-for-the-mount-van-hoevenberg-winter-sports-complex-is-poised-for-second-passage/","2025-06-17"
"28022","Support","""Incorporation is a smart move that will enhance regional collaboration, empowering San Tan Valley residents to shape their community according to their unique needs, values, and aspirations.""","Former Mesa Mayor John Giles","https://x.com/tahudgins/status/1825739611928408166?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1825739611928408166%7Ctwgr%5E1f86dcc74ec580da08e3f962c76f37f3c26a28a1%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fktar.com%2Farizona-news%2Fsan-tan-valley-incorporation-arizona%2F5629916%2F","2025-07-15"
"28022","Support","""As someone who has fought for transparency and fiscal responsibility in Phoenix, I can tell you this: it makes zero sense for San Tan Valley residents to send over $10 Million of their tax dollars every year to a city that’s miles away and doesn’t represent them. That money should be building your roads, your parks, and your families – not funding the politics and priorities of Phoenix. It’s time for San Tan Valley to invest in itself.""","Former Phoenix City Councilmember Sal DiCiccio","https://santanvalleyinc.com/","2025-07-15"
"28022","Support","""The status quo is that government is already getting all of your tax money and YOU ARE NOT. Incorporation creates an opportunity to retain 100% of our tax revenue locally. Currently, the tax revenue generated in San Tan Valley—estimated at $51.3 million to $65 million annually from state sales tax, state income tax, fees, and other sources—does not return to directly fund our neighborhoods, roads, or community needs. Instead, this revenue goes to the county or other cities and towns across the state. You are funding other projects and roads other residents get to drive on daily in their communities. Incorporation ensures that all of this money stays in our community, supporting local projects, infrastructure, and improvements that directly benefit San Tan Valley residents.""","San Tan Valley Inc.","https://santanvalleyinc.com/2025/04/myth-incorporation-is-just-a-way-for-the-government-to-take-more-money-from-residents/","2025-07-15"
"28073","Support","""This is about more than drawing lines on a map; it’s about drawing a line in the sand to stop Texas and Trump from rigging the election. This is about protecting the people of the Golden State, our democracy, and making sure voters have a say.""","Senate President Pro Tem Mike McGuire (D-2)","https://www.ocregister.com/2025/08/18/sacramento-snapshot-the-legislature-is-back-in-session-heres-what-were-watching/","2025-08-18"
"28073","Oppose","""It’s clearly a threat to democracy and representative government in California, unlike anything we’ve ever seen. California voters have very clearly expressed their will that we should not have gerrymandering, that drawing district lines should not be done by politicians.""","U.S. Rep. Kevin Kiley (R-3)","https://www.washingtonpost.com/politics/2025/08/18/california-texas-redistricting-congress/","2025-08-18"
"28073","Oppose","""Gavin Newsom’s latest stunt has nothing to do with Californians and everything to do with consolidating radical Democrat power, silencing California voters, and propping up his pathetic 2028 presidential pipe dream. Newsom’s made it clear: he’ll shred California’s Constitution and trample over democracy — running a cynical, self-serving playbook where Californians are an afterthought and power is the only priority.""","Christian Martinez, spokesperson for the National Republican Congressional Committee","https://apnews.com/article/california-newsom-redistricting-texas-trump-5ccb3de37f6d3ec803ac24ad363018fa","2025-08-19"
